GEO_ID,new_housing_2018
17031010100,2.2
17031010201,1.2
17031010202,10
17031010300,5.7
17031010400,0.7
17031010501,3.8
17031010502,1.1
17031010503,16.8
17031010600,3.4
17031010701,1.3
17031010702,4.2
17031020100,5.7
17031020200,1.4
17031020301,3.8
17031020302,1.2
17031020400,8.4
17031020500,3.4
17031020601,2.8
17031020602,0
17031020701,3.6
17031020702,4.6
17031020801,2.3
17031020802,2
17031020901,0.4
17031020902,11.5
17031030101,0
17031030102,2.5
17031030103,15.3
17031030104,1.8
17031030200,2
17031030300,3.9
17031030400,4.4
17031030500,5.2
17031030601,2.1
17031030603,1.2
17031030604,2.6
17031030701,15.7
17031030702,0.5
17031030703,4.4
17031030706,3.4
17031030800,0.6
17031030900,4.9
17031031000,11.1
17031031100,4.4
17031031200,10
17031031300,7.3
17031031400,2.6
17031031501,5.5
17031031502,1.5
17031031700,5.8
17031031800,8.3
17031031900,1.8
17031032100,6.4
17031040100,11.4
17031040201,12.1
17031040202,12.8
17031040300,6.4
17031040401,2.6
17031040402,13.1
17031040600,6.7
17031040700,3.8
17031040800,3
17031040900,5.3
17031050100,15
17031050200,17.4
17031050300,18.8
17031050500,19.9
17031050600,14.8
17031050700,8.8
17031050800,12.5
17031050900,7.3
17031051000,29
17031051100,35.6
17031051200,16.4
17031051300,23.9
17031051400,26.4
17031060100,7.5
17031060200,8.1
17031060300,15.6
17031060400,20.8
17031060500,7.1
17031060800,0.3
17031060900,0
17031061000,35.8
17031061100,29.4
17031061200,10.4
17031061500,5
17031061800,2
17031061901,2.8
17031061902,2.1
17031062000,4.7
17031062100,19.4
17031062200,27.7
17031062300,24.9
17031062400,29.2
17031062500,17.9
17031062600,40.7
17031062700,23.7
17031062800,19.4
17031062900,23.6
17031063000,15
17031063100,18.9
17031063200,0.7
17031063301,5.6
17031063302,0.9
17031063303,0.7
17031063400,7.6
17031070101,1.1
17031070102,11
17031070103,0.7
17031070200,9.1
17031070300,29.5
17031070400,13.1
17031070500,19.9
17031070600,26.1
17031070700,28.2
17031071000,2.6
17031071100,11.6
17031071200,2.8
17031071300,6.4
17031071400,1.4
17031071500,1.7
17031071600,10.7
17031071700,2.1
17031071800,11
17031080100,0
17031080201,0.7
17031080202,0.4
17031080300,39
17031080400,26.4
17031081000,8.4
17031081100,7.1
17031081201,27.4
17031081202,1.2
17031081300,8.6
17031081401,0
17031081402,37.9
17031081403,48.5
17031081500,36.6
17031081600,43.3
17031081700,51.9
17031081800,62.7
17031081900,19.2
17031090100,1
17031090200,3.8
17031090300,1.5
17031100100,0.6
17031100200,0.8
17031100300,3.4
17031100400,1.7
17031100500,3.9
17031100600,0
17031100700,0.2
17031110100,4
17031110200,5.3
17031110300,2.1
17031110400,2.3
17031110501,1.2
17031110502,14
17031120100,2.5
17031120200,4.6
17031120300,2.7
17031120400,2.3
17031130100,4.8
17031130200,6.4
17031130300,1.9
17031140100,6.8
17031140200,1
17031140301,4.4
17031140302,2.8
17031140400,0
17031140500,2.9
17031140601,4.6
17031140602,3.5
17031140701,16.3
17031140702,4.5
17031140800,6.5
17031150200,4.1
17031150300,1.9
17031150401,1.4
17031150402,2.4
17031150501,2.5
17031150502,4.4
17031150600,0.6
17031150700,0
17031150800,0
17031151001,0
17031151002,1.4
17031151100,1.1
17031151200,5.6
17031160100,9.8
17031160200,8.4
17031160300,3
17031160400,6.4
17031160501,3.6
17031160502,3.9
17031160601,9.6
17031160602,8.6
17031160700,8.9
17031160800,3.6
17031160900,2.1
17031161000,6.8
17031161100,18.9
17031161200,10.3
17031161300,3.8
17031170100,18.1
17031170200,1.1
17031170300,1.9
17031170400,13.1
17031170500,1.5
17031170600,2.6
17031170700,2.8
17031170800,6.3
17031170900,6.6
17031171000,7.1
17031171100,0
17031180100,15.6
17031190100,16.1
17031190200,1.7
17031190300,2.2
17031190401,8.5
17031190402,1.4
17031190601,0
17031190602,1.3
17031190701,2
17031190702,2.1
17031190800,1.7
17031190900,24.5
17031191000,0
17031191100,0
17031191200,0.4
17031191301,2.5
17031191302,1.1
17031200100,0
17031200200,0
17031200300,4.2
17031200401,1
17031200402,2.7
17031210100,24.3
17031210400,3.7
17031210501,1.7
17031210502,2.6
17031210601,3.2
17031210602,5
17031210700,0.9
17031210800,5.3
17031210900,32.5
17031220300,8.4
17031220400,2.4
17031220500,9.3
17031220601,1.6
17031220602,2.3
17031220701,1.1
17031220702,2.9
17031220901,0
17031220902,0.4
17031221000,1.4
17031221100,5
17031221200,13.4
17031221300,7.2
17031221400,22
